index,comment,label
229,饭像没熟样 好像昨天的剩饭 一点都不好吃,0
1767,是人吃的吗？剩饭，剩菜，,0
74,除了尖椒鸡外，其他图片与实物完全不符，全是干辣椒，而且土豆片中有葱有蒜台，感觉像是几个菜混合的像是剩菜样,0
529,这是第二次团购这家的汤锅了，第一次去感觉还不错，第二次就继续回购了。位置依旧好找，对于熟悉南坪的人来说就是轻车熟路了，不太了解的可以问一下，位置还是挺当道的，好找。吃腻了火锅什么的，来吃一次汤锅，很舒服。这一次吃的腊排骨，里面配菜有藕还有玉米，我们两个人去吃还有剩下的菜，排骨还是挺多的，汤真的很好喝，两个人吃饱饱的。而且团购价格真的是很实惠。建议去吃的人，选择红椒的拌料，青椒味道还是要差一点，偏辣。值得一提的是红椒真的很好吃，下饭都可以，建议商家可以推出更多的团购套餐哦。,0
675,不好吃 没有蒜香味 虾子不新鲜 是冰冻虾 哎 ,0
978,味道完全没有香辣味，全是酱油味，而且蟹很不新鲜，一股腥味。吃过最难吃的蟹,0
1379,太失望了 味道不行 虾点都不新鲜  差评,0
697,方便面没熟，没法吃，竹笋很老咬不动而且很少，菜品也很少,0
328,实际与宣传的差距太大，口味不行，这是我在重庆吃过最烂的石锅拌饭,0
866,各位，骗人的店。偷工减料的，好少，有些菜还没有。烂店一个。。烂，烂，烂。。。。,0
1350,第一次吃羊排抓饭，米饭很香颗粒晶莹饱满，羊肉和胡萝卜的汁汁和香味充分的渗透到米粒里面。调味料很少羊肉的味道很真实软烂鲜香。总之我很喜欢这种尊重食物，还原食材自身味道，用料简单的做法。很健康营养，真心的推荐。,0
1369,黄桃心心烂了，淡而无味,0
1648,#回锅肉套饭##泡椒肉丝炒河粉##香脆馄饨#第一次点的时候味道很好、但是这次很差！回锅肉不晓得回了多少次锅！里面的肉都黑了硬邦邦的！豆干也是烂的绵扎扎的！一夜之间像换了厨师一样！难吃至极！不会再来了！#回锅肉套饭##泡椒肉丝炒河粉##香脆馄饨#,0
1413,不好说的。豆花可以吃。烧菜只吃了一坨真的。建议老板自己尝一下。不晓得是撒子味道好重的骚味！第一次遇到这种味道......,0
1985,有股羊骚味，我点的牛肉啊？送的汤好喝,0
418,服务特别好，菜品干净，一个星期吃了两次也没有拉肚子，特别棒,0
1708,分量少  还有虫  送得也慢,0
613,不好吃，咖喱不正宗，想吐的味道,0
662,太硬了嚼都嚼不动 像皮鞋样怎么吃嘛 .买了也不是一次两次了这次最难吃 .还有我备注了不要葱是指的两个都不要葱 气死了,0
1844,这次我又买了两袋土司，两个泡芙回来，确实是感觉超级划算，一买完就又屯了一张券，担心到时候优惠券的活动取消掉了。土司应该是新鲜的，感觉又软又香，味道不错。但是今天的泡芙感觉外壳有点太硬了，不像之前是香软的啊。,0
102,真的，我是为了这个差评才一直没有忍着退货。真的，***！晚了接近一个小时不说，时间打了四个电话都不接。你不能准时送到你早说啊，你有突**况你打个电话要死啊？不确定取消重新下单快，还是苦苦等着快。真的，商家有毒！你们不信的可以试试，我真是为了这个差评，为了少点人被骗才确认收单。恶心！,0
569,送个面条一个小时我也是醉了，面块都溶了 还能吃？并且太油太油  味道难以下咽！等了半个小时给商家打电话问怎么还没送过来  反而还被凶 说 还没有煮 还问我要不要 不要都算了  哈子态度 ！后面有将近等了二十多分钟 人都快饿死了 打电话过去 却关机   呵呵呵！垃圾  并且面送到的时候 盖子上面全部是别个点的什么番茄的油水  恶心！  垃圾 再也不在这家吃了！,0
981,真难吃，真肥，恶心死我了,0
